subgroup,subgroup_total_n,topic_id,final_topic_label,document_count,prevalence_within_subgroup_pct,small_subgroup_warning
positive_post_use_experience,24,1,"Indian EV-Bus Adoption: R&D, Operations & User Experience",6,25.0,
positive_post_use_experience,24,6,"New-Age OEM Execution, Reliability & Service Risk",6,25.0,
positive_post_use_experience,24,4,"Domestic Manufacturing, R&D & China Dependence",5,20.83333333333333,
positive_post_use_experience,24,5,"Tender Economics, Public Funding & Private Operators",3,12.5,
positive_post_use_experience,24,0,Public Transport Economics & Government Operating Models,2,8.333333333333334,
positive_post_use_experience,24,3,"Public Infrastructure, Funding & Alternative Transit",2,8.333333333333334,
