topic_count_k,coherence_cv,log_perplexity,mean_top_term_jaccard,max_top_term_jaccard,qualitative_overlap_warning,selected_model,selection_note
2,0.3024216505433489,-6.076133211373098,0.3333333333333333,0.3333333333333333,low_overlap,False,
3,0.32203122652489685,-6.084004792602849,0.2253968253968254,0.3333333333333333,low_overlap,False,
4,0.3267103022928089,-6.154085385318353,0.18199385155906897,0.3333333333333333,low_overlap,False,
5,0.33544958074572906,-6.199465188415838,0.14650777140479657,0.2631578947368421,low_overlap,False,
6,0.33430287676707704,-6.251967106449679,0.12021080368906455,0.2,low_overlap,False,
7,0.34056170383743695,-6.30589167176377,0.1091837442278763,0.2631578947368421,low_overlap,False,
8,0.35584284154485846,-6.374705564409451,0.14102913268490253,0.5,high_overlap,True,"Selected using coherence within 0.01 of best, lower overlap, interpretability/parsimony; not coherence alone"
