subgroup,subgroup_total_n,topic_id,final_topic_label,document_count,prevalence_within_subgroup_pct,small_subgroup_warning
negative_post_use,17,3,"Public Infrastructure, Funding & Alternative Transit",4,23.529411764705884,
negative_post_use,17,4,"Domestic Manufacturing, R&D & China Dependence",4,23.529411764705884,
negative_post_use,17,6,"New-Age OEM Execution, Reliability & Service Risk",3,17.647058823529413,
negative_post_use,17,1,"Indian EV-Bus Adoption: R&D, Operations & User Experience",2,11.764705882352942,
negative_post_use,17,0,Public Transport Economics & Government Operating Models,2,11.764705882352942,
negative_post_use,17,5,"Tender Economics, Public Funding & Private Operators",1,5.882352941176471,
negative_post_use,17,7,"Supply-Chain Risk, Charging Alternatives & Service Gaps",1,5.882352941176471,
