brand,video_file,fps,total_frames,width,height,resolution,duration_seconds,duration_minutes,file_size_mb,aspect_ratio,total_frames_analysed,shot_cuts,cuts_per_minute,avg_pixel_diff,avg_brightness,avg_contrast,avg_saturation,avg_sharpness,avg_warm_cool_bias,avg_colourfulness,avg_edge_density,avg_visual_balance,avg_figure_ground_sep,ocr_text_frames,ocr_text_pct,dominant_text_theme,avg_vader_compound,total_obj_bus,total_obj_person,pct_frames_obj_bus,pct_frames_obj_person,deep_models_used,theme_battery_technology,theme_safety,theme_passenger_comfort,theme_technology,theme_sustainability,theme_reliability,theme_cost_economics,theme_govt_policy,theme_brand_trust,theme_fleet_operations
EKA,eka.mp4,24.0,9259,640,360,640x360,385.79,6.43,28.62,1.778,120,12,1.87,46.473,95.262,67.522,78.441,657.208,0.006,44.325,0.076,0.853,0.508,12,10.0,battery_technology,-0.04,72,703,45.0,90.8,True,0,0,0,0,0,0,0,0,0,0
OLECTRA,olectra.mp4,24.0,23280,640,360,640x360,970.0,16.17,63.46,1.778,120,12,0.74,49.165,151.123,65.826,56.452,467.005,-0.033,38.527,0.058,0.857,0.55,25,20.8,govt_policy,0.006,31,256,20.8,30.0,True,0,0,0,0,0,0,0,1,0,1
SWITCH,switch.mp4,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778,120,12,1.41,34.545,112.303,54.655,113.32,1317.257,-0.187,62.305,0.078,0.763,0.578,61,50.8,battery_technology,-0.124,133,67,51.7,45.8,True,5,0,1,2,0,0,1,0,0,1
TATA,tata.mp4,29.97,13716,640,360,640x360,457.66,7.63,18.79,1.778,120,12,1.57,16.925,136.789,58.628,47.721,761.142,-0.005,39.301,0.087,0.825,0.6,89,74.2,technology,-0.003,167,146,85.0,83.3,True,0,0,0,1,0,0,0,0,0,0
