scope_name,dimension,group_value,lifecycle_stage_auto,row_count,sample_size,percent,small_sample_flag
all_corpus,entity_name_canonical,EKA Mobility,general_unspecified,9,9,100.0,True
all_corpus,entity_name_canonical,General/Industry,general_unspecified,341,382,89.26701570680628,False
all_corpus,entity_name_canonical,General/Industry,post_use,14,382,3.6649214659685865,False
all_corpus,entity_name_canonical,General/Industry,pre_adoption,14,382,3.6649214659685865,False
all_corpus,entity_name_canonical,General/Industry,procurement,13,382,3.4031413612565444,False
all_corpus,entity_name_canonical,JBM Auto,general_unspecified,18,20,90.0,False
all_corpus,entity_name_canonical,JBM Auto,post_use,2,20,10.0,False
all_corpus,entity_name_canonical,NueGo,general_unspecified,25,66,37.878787878787875,False
all_corpus,entity_name_canonical,NueGo,post_use,37,66,56.06060606060606,False
all_corpus,entity_name_canonical,NueGo,pre_adoption,4,66,6.0606060606060606,False
all_corpus,entity_name_canonical,Olectra Greentech,general_unspecified,13,20,65.0,False
all_corpus,entity_name_canonical,Olectra Greentech,post_use,7,20,35.0,False
all_corpus,entity_name_canonical,PMI Electro,general_unspecified,20,20,100.0,False
all_corpus,entity_name_canonical,Switch Mobility,general_unspecified,7,10,70.0,True
all_corpus,entity_name_canonical,Switch Mobility,post_use,2,10,20.0,True
all_corpus,entity_name_canonical,Switch Mobility,procurement,1,10,10.0,True
all_corpus,entity_name_canonical,Tata Motors,general_unspecified,16,21,76.19047619047619,False
all_corpus,entity_name_canonical,Tata Motors,post_use,3,21,14.285714285714286,False
all_corpus,entity_name_canonical,Tata Motors,pre_adoption,2,21,9.523809523809524,False
consumer_sentiment,entity_name_canonical,EKA Mobility,general_unspecified,7,7,100.0,True
consumer_sentiment,entity_name_canonical,General/Industry,general_unspecified,311,352,88.35227272727273,False
consumer_sentiment,entity_name_canonical,General/Industry,post_use,14,352,3.977272727272727,False
consumer_sentiment,entity_name_canonical,General/Industry,pre_adoption,14,352,3.977272727272727,False
consumer_sentiment,entity_name_canonical,General/Industry,procurement,13,352,3.6931818181818183,False
consumer_sentiment,entity_name_canonical,JBM Auto,general_unspecified,10,11,90.9090909090909,True
consumer_sentiment,entity_name_canonical,JBM Auto,post_use,1,11,9.090909090909092,True
consumer_sentiment,entity_name_canonical,NueGo,general_unspecified,14,38,36.8421052631579,False
consumer_sentiment,entity_name_canonical,NueGo,post_use,22,38,57.89473684210526,False
consumer_sentiment,entity_name_canonical,NueGo,pre_adoption,2,38,5.2631578947368425,False
consumer_sentiment,entity_name_canonical,Olectra Greentech,general_unspecified,4,7,57.142857142857146,True
consumer_sentiment,entity_name_canonical,Olectra Greentech,post_use,3,7,42.857142857142854,True
consumer_sentiment,entity_name_canonical,PMI Electro,general_unspecified,6,6,100.0,True
consumer_sentiment,entity_name_canonical,Switch Mobility,general_unspecified,5,7,71.42857142857143,True
consumer_sentiment,entity_name_canonical,Switch Mobility,post_use,2,7,28.571428571428573,True
consumer_sentiment,entity_name_canonical,Tata Motors,general_unspecified,8,10,80.0,True
consumer_sentiment,entity_name_canonical,Tata Motors,post_use,1,10,10.0,True
consumer_sentiment,entity_name_canonical,Tata Motors,pre_adoption,1,10,10.0,True
consumer_topic,entity_name_canonical,EKA Mobility,general_unspecified,7,7,100.0,True
consumer_topic,entity_name_canonical,General/Industry,general_unspecified,308,349,88.25214899713467,False
consumer_topic,entity_name_canonical,General/Industry,post_use,14,349,4.011461318051576,False
consumer_topic,entity_name_canonical,General/Industry,pre_adoption,14,349,4.011461318051576,False
consumer_topic,entity_name_canonical,General/Industry,procurement,13,349,3.7249283667621778,False
consumer_topic,entity_name_canonical,JBM Auto,general_unspecified,10,11,90.9090909090909,True
consumer_topic,entity_name_canonical,JBM Auto,post_use,1,11,9.090909090909092,True
consumer_topic,entity_name_canonical,NueGo,general_unspecified,14,38,36.8421052631579,False
consumer_topic,entity_name_canonical,NueGo,post_use,22,38,57.89473684210526,False
